X,Y,Label,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,NDVI,NDWI,ID,Label_ID
666036.9,1212352,Cropland,0.051899999,0.062226251,0.090331249,0.104995623,0.268091261,0.309396237,0.209818751,0.437151909,-0.495950997,302,3
670075.8,1184141,Cropland,0.035131112,0.044841666,0.075284168,0.07228972,0.224361673,0.162996948,0.098818056,0.512628496,-0.497512341,303,3
672819.3,1200815,Cropland,0.040951945,0.059123334,0.098839447,0.096272781,0.223774999,0.184123054,0.129120007,0.398384929,-0.387259662,304,3
679269.7,1181139,Cropland,0.047794644,0.057733927,0.087968215,0.085650355,0.257937849,0.192727506,0.123533569,0.501435995,-0.491375089,305,3
698756.2,1169735,Cropland,0.022507999,0.028884333,0.056939833,0.039453499,0.309664845,0.127136335,0.048708167,0.773982048,-0.689366519,306,3
675371.4,1206320,Cropland,0.028793124,0.035461877,0.065072499,0.047060002,0.29136312,0.126961246,0.057771251,0.721886575,-0.634870946,307,3
679249.5,1210088,Cropland,0.0585825,0.068531998,0.097742498,0.088909499,0.279330492,0.2102945,0.145801499,0.517111063,-0.481572539,308,3
658395.3,1220840,Cropland,0.050898999,0.059907999,0.094871499,0.095889002,0.253183514,0.216982499,0.157263502,0.450606972,-0.454847723,309,3
678357.8,1182783,Cropland,0.040456563,0.047592811,0.081297502,0.070166878,0.271356881,0.192486882,0.10283,0.589095175,-0.538939476,310,3
671282.4,1210957,Cropland,0.032629374,0.037744377,0.061339375,0.056513123,0.235675618,0.144836247,0.082253128,0.613173902,-0.586961091,311,3
666188.1,1207000,Cropland,0.024771251,0.029016562,0.052178439,0.041852187,0.260099053,0.139576882,0.06898094,0.722788453,-0.665820003,312,3
668653.6,1204119,Cropland,0.028815277,0.036001943,0.065876111,0.050723612,0.278182209,0.155355006,0.083231665,0.69156146,-0.617064238,313,3
661441.1,1230434,Cropland,0.034322001,0.040399499,0.067893997,0.056932501,0.328967988,0.198128507,0.108676501,0.704936862,-0.657845855,314,3
667255.1,1216938,Cropland,0.038722001,0.048990499,0.081237003,0.078569502,0.224154502,0.176244006,0.123378001,0.480916619,-0.467981279,315,3
671721.8,1191445,Cropland,0.043607224,0.052110832,0.07668972,0.076674446,0.23908639,0.212139443,0.125392228,0.51435113,-0.514277875,316,3
670905.5,1219425,Cropland,0.0814735,0.087738,0.109044999,0.120490499,0.215074003,0.234318495,0.191017002,0.281863868,-0.327129871,317,3
658210.3,1216130,Cropland,0.053879999,0.067047,0.101460502,0.097445503,0.219353005,0.195356503,0.147512004,0.384810835,-0.367479861,318,3
661098.4,1209054,Cropland,0.023678126,0.029075,0.068853751,0.044688124,0.345799387,0.164904371,0.077901252,0.771116197,-0.667897165,319,3
656430.5,1223529,Cropland,0.034063499,0.039090499,0.070187502,0.058951002,0.290726513,0.221101999,0.115754999,0.662826478,-0.611056924,320,3
664871.1,1224575,Cropland,0.050547,0.055849001,0.078564003,0.083547004,0.271977007,0.262038499,0.154431,0.530006468,-0.551755726,321,3
664394.9,1228730,Cropland,0.072019003,0.081627503,0.110035002,0.113004997,0.280326009,0.256417513,0.192716494,0.425394922,-0.436239779,322,3
669016.3,1217756,Cropland,0.050062999,0.057840001,0.085362002,0.080230497,0.297309995,0.222350493,0.133239493,0.574983299,-0.553863347,323,3
